League,Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result
Bundesliga,07/08/93,Bayern Munich,Freiburg,3.0,1.0,H
Bundesliga,07/08/93,Dortmund,Karlsruhe,2.0,1.0,H
Bundesliga,07/08/93,Duisburg,Leverkusen,2.0,2.0,D
Bundesliga,07/08/93,FC Koln,Kaiserslautern,0.0,2.0,A
Bundesliga,07/08/93,Hamburg,Nurnberg,5.0,2.0,H
Bundesliga,07/08/93,Leipzig,Dresden,3.0,3.0,D
Bundesliga,07/08/93,M'Gladbach,Ein Frankfurt,0.0,4.0,A
Bundesliga,07/08/93,Wattenscheid,Schalke 04,3.0,0.0,H
Bundesliga,07/08/93,Werder Bremen,Stuttgart,5.0,1.0,H
Bundesliga,14/08/93,Dresden,Duisburg,0.0,1.0,A
Bundesliga,14/08/93,Ein Frankfurt,Werder Bremen,2.0,2.0,D
Bundesliga,14/08/93,Freiburg,Wattenscheid,4.0,1.0,H
Bundesliga,14/08/93,Kaiserslautern,M'Gladbach,4.0,2.0,H
Bundesliga,14/08/93,Karlsruhe,Hamburg,2.0,0.0,H
Bundesliga,14/08/93,Leverkusen,Bayern Munich,2.0,1.0,H
Bundesliga,14/08/93,Nurnberg,FC Koln,1.0,0.0,H
Bundesliga,14/08/93,Schalke 04,Dortmund,1.0,0.0,H
Bundesliga,14/08/93,Stuttgart,Leipzig,0.0,0.0,D
Bundesliga,21/08/93,Bayern Munich,Dresden,5.0,0.0,H
Bundesliga,21/08/93,Dortmund,Freiburg,3.0,2.0,H
Bundesliga,21/08/93,Duisburg,Stuttgart,2.0,2.0,D
Bundesliga,21/08/93,Ein Frankfurt,Kaiserslautern,1.0,0.0,H
Bundesliga,21/08/93,FC Koln,Karlsruhe,2.0,1.0,H
Bundesliga,21/08/93,Hamburg,Schalke 04,4.0,1.0,H
Bundesliga,21/08/93,M'Gladbach,Nurnberg,2.0,0.0,H
Bundesliga,21/08/93,Wattenscheid,Leverkusen,1.0,2.0,A
Bundesliga,21/08/93,Werder Bremen,Leipzig,3.0,1.0,H
Bundesliga,28/08/93,Dresden,Wattenscheid,1.0,1.0,D
Bundesliga,28/08/93,Freiburg,Hamburg,0.0,1.0,A
Bundesliga,28/08/93,Kaiserslautern,Werder Bremen,2.0,3.0,A
Bundesliga,28/08/93,Karlsruhe,M'Gladbach,1.0,0.0,H
Bundesliga,28/08/93,Leipzig,Duisburg,1.0,1.0,D
Bundesliga,28/08/93,Leverkusen,Dortmund,2.0,1.0,H
Bundesliga,28/08/93,Nurnberg,Ein Frankfurt,1.0,5.0,A
Bundesliga,28/08/93,Schalke 04,FC Koln,1.0,2.0,A
Bundesliga,28/08/93,Stuttgart,Bayern Munich,2.0,2.0,D
Bundesliga,01/09/93,Bayern Munich,Leipzig,3.0,0.0,H
Bundesliga,01/09/93,Dortmund,Dresden,4.0,0.0,H
Bundesliga,01/09/93,Ein Frankfurt,Karlsruhe,3.0,1.0,H
Bundesliga,01/09/93,FC Koln,Freiburg,2.0,0.0,H
Bundesliga,01/09/93,Hamburg,Leverkusen,2.0,1.0,H
Bundesliga,01/09/93,Kaiserslautern,Nurnberg,3.0,1.0,H
Bundesliga,01/09/93,M'Gladbach,Schalke 04,3.0,2.0,H
Bundesliga,01/09/93,Wattenscheid,Stuttgart,2.0,4.0,A
Bundesliga,01/09/93,Werder Bremen,Duisburg,1.0,5.0,A
Bundesliga,04/09/93,Dresden,Hamburg,1.0,1.0,D
Bundesliga,04/09/93,Duisburg,Bayern Munich,2.0,2.0,D
Bundesliga,04/09/93,Freiburg,M'Gladbach,3.0,3.0,D
Bundesliga,04/09/93,Karlsruhe,Kaiserslautern,1.0,1.0,D
Bundesliga,04/09/93,Leipzig,Wattenscheid,0.0,0.0,D
Bundesliga,04/09/93,Leverkusen,FC Koln,2.0,1.0,H
Bundesliga,04/09/93,Nurnberg,Werder Bremen,0.0,1.0,A
Bundesliga,04/09/93,Schalke 04,Ein Frankfurt,1.0,3.0,A
Bundesliga,04/09/93,Stuttgart,Dortmund,2.0,2.0,D
Bundesliga,08/09/93,Dortmund,Leipzig,0.0,1.0,A
Bundesliga,08/09/93,Ein Frankfurt,Freiburg,3.0,0.0,H
Bundesliga,08/09/93,FC Koln,Dresden,0.0,1.0,A
Bundesliga,08/09/93,Hamburg,Stuttgart,3.0,2.0,H
Bundesliga,08/09/93,Kaiserslautern,Schalke 04,0.0,0.0,D
Bundesliga,08/09/93,M'Gladbach,Leverkusen,2.0,2.0,D
Bundesliga,08/09/93,Nurnberg,Karlsruhe,1.0,1.0,D
Bundesliga,08/09/93,Wattenscheid,Duisburg,0.0,2.0,A
Bundesliga,08/09/93,Werder Bremen,Bayern Munich,1.0,0.0,H
Bundesliga,18/09/93,Bayern Munich,Wattenscheid,3.0,3.0,D
Bundesliga,18/09/93,Dresden,M'Gladbach,2.0,1.0,H
Bundesliga,18/09/93,Duisburg,Dortmund,2.0,2.0,D
Bundesliga,18/09/93,Freiburg,Kaiserslautern,2.0,3.0,A
Bundesliga,18/09/93,Karlsruhe,Werder Bremen,0.0,3.0,A
Bundesliga,18/09/93,Leipzig,Hamburg,1.0,4.0,A
Bundesliga,18/09/93,Leverkusen,Ein Frankfurt,2.0,2.0,D
Bundesliga,18/09/93,Schalke 04,Nurnberg,1.0,2.0,A
Bundesliga,18/09/93,Stuttgart,FC Koln,1.0,1.0,D
Bundesliga,25/09/93,Dortmund,Bayern Munich,1.0,1.0,D
Bundesliga,25/09/93,Ein Frankfurt,Dresden,3.0,2.0,H
Bundesliga,25/09/93,FC Koln,Leipzig,3.0,1.0,H
Bundesliga,25/09/93,Hamburg,Duisburg,0.0,1.0,A
Bundesliga,25/09/93,Kaiserslautern,Leverkusen,3.0,2.0,H
Bundesliga,25/09/93,Karlsruhe,Schalke 04,0.0,0.0,D
Bundesliga,25/09/93,M'Gladbach,Stuttgart,0.0,2.0,A
Bundesliga,25/09/93,Nurnberg,Freiburg,2.0,2.0,D
Bundesliga,25/09/93,Werder Bremen,Wattenscheid,0.0,0.0,D
Bundesliga,02/10/93,Bayern Munich,Hamburg,4.0,0.0,H
Bundesliga,02/10/93,Dresden,Kaiserslautern,3.0,1.0,H
Bundesliga,02/10/93,Duisburg,FC Koln,0.0,0.0,D
Bundesliga,02/10/93,Freiburg,Karlsruhe,3.0,3.0,D
Bundesliga,02/10/93,Leipzig,M'Gladbach,1.0,1.0,D
Bundesliga,02/10/93,Leverkusen,Nurnberg,4.0,0.0,H
Bundesliga,02/10/93,Schalke 04,Werder Bremen,1.0,1.0,D
Bundesliga,02/10/93,Stuttgart,Ein Frankfurt,0.0,2.0,A
Bundesliga,02/10/93,Wattenscheid,Dortmund,1.0,2.0,A
Bundesliga,09/10/93,Ein Frankfurt,Leipzig,2.0,1.0,H
Bundesliga,09/10/93,FC Koln,Bayern Munich,0.0,4.0,A
Bundesliga,09/10/93,Hamburg,Wattenscheid,2.0,1.0,H
Bundesliga,09/10/93,Kaiserslautern,Stuttgart,5.0,0.0,H
Bundesliga,09/10/93,Karlsruhe,Leverkusen,2.0,0.0,H
Bundesliga,09/10/93,M'Gladbach,Duisburg,4.0,1.0,H
Bundesliga,09/10/93,Nurnberg,Dresden,3.0,0.0,H
Bundesliga,09/10/93,Schalke 04,Freiburg,1.0,3.0,A
Bundesliga,09/10/93,Werder Bremen,Dortmund,4.0,0.0,H
Bundesliga,16/10/93,Bayern Munich,M'Gladbach,3.0,1.0,H
Bundesliga,16/10/93,Dortmund,Hamburg,2.0,1.0,H
Bundesliga,16/10/93,Dresden,Karlsruhe,1.0,1.0,D
Bundesliga,16/10/93,Duisburg,Ein Frankfurt,1.0,0.0,H
Bundesliga,16/10/93,Freiburg,Werder Bremen,0.0,0.0,D
Bundesliga,16/10/93,Leipzig,Kaiserslautern,0.0,0.0,D
Bundesliga,16/10/93,Leverkusen,Schalke 04,5.0,1.0,H
Bundesliga,16/10/93,Stuttgart,Nurnberg,1.0,0.0,H
Bundesliga,16/10/93,Wattenscheid,FC Koln,2.0,2.0,D
