League,Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result
English Conference,13/08/05,Accrington,Canvey Island,1.0,0.0,H
English Conference,13/08/05,Aldershot,Tamworth,0.0,2.0,A
English Conference,13/08/05,Burton,Grays,1.0,1.0,D
English Conference,13/08/05,Dag and Red,Southport,3.0,1.0,H
English Conference,13/08/05,Forest Green,Cambridge,1.0,0.0,H
English Conference,13/08/05,Gravesend,Exeter,0.0,2.0,A
English Conference,13/08/05,Hereford,Scarborough,4.0,0.0,H
English Conference,13/08/05,Kidderminster,Woking,2.0,1.0,H
English Conference,13/08/05,Morecambe,Halifax,1.0,0.0,H
English Conference,13/08/05,Stevenage,Altrincham,3.0,0.0,H
English Conference,13/08/05,York,Crawley Town,0.0,0.0,D
English Conference,16/08/05,Altrincham,Accrington,0.0,1.0,A
English Conference,16/08/05,Cambridge,Hereford,2.0,1.0,H
English Conference,16/08/05,Canvey Island,Aldershot,2.0,1.0,H
English Conference,16/08/05,Crawley Town,Dag and Red,0.0,0.0,D
English Conference,16/08/05,Exeter,Kidderminster,1.0,0.0,H
English Conference,16/08/05,Grays,Gravesend,6.0,1.0,H
English Conference,16/08/05,Halifax,Burton,1.0,0.0,H
English Conference,16/08/05,Scarborough,Morecambe,0.0,1.0,A
English Conference,16/08/05,Southport,York,1.0,4.0,A
English Conference,16/08/05,Tamworth,Forest Green,0.0,0.0,D
English Conference,16/08/05,Woking,Stevenage,3.0,2.0,H
English Conference,20/08/05,Altrincham,Forest Green,2.0,1.0,H
English Conference,20/08/05,Cambridge,Accrington,3.0,1.0,H
English Conference,20/08/05,Canvey Island,Gravesend,1.0,2.0,A
English Conference,20/08/05,Crawley Town,Hereford,0.0,2.0,A
English Conference,20/08/05,Exeter,Morecambe,2.0,0.0,H
English Conference,20/08/05,Grays,York,1.0,1.0,D
English Conference,20/08/05,Halifax,Aldershot,1.0,1.0,D
English Conference,20/08/05,Scarborough,Kidderminster,1.0,1.0,D
English Conference,20/08/05,Southport,Stevenage,3.0,2.0,H
English Conference,20/08/05,Tamworth,Dag and Red,2.0,2.0,D
English Conference,20/08/05,Woking,Burton,2.0,2.0,D
English Conference,26/08/05,York,Woking,2.0,1.0,H
English Conference,27/08/05,Accrington,Exeter,1.0,2.0,A
English Conference,27/08/05,Aldershot,Altrincham,0.0,2.0,A
English Conference,27/08/05,Burton,Canvey Island,1.0,2.0,A
English Conference,27/08/05,Dag and Red,Scarborough,0.0,2.0,A
English Conference,27/08/05,Forest Green,Halifax,2.0,2.0,D
English Conference,27/08/05,Gravesend,Cambridge,0.0,0.0,D
