League,Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result
English League 2,14/08/93,Bury,Northampton,0.0,0.0,D
English League 2,14/08/93,Carlisle,Wycombe,2.0,2.0,D
English League 2,14/08/93,Chester,Doncaster,0.0,1.0,A
English League 2,14/08/93,Colchester,Lincoln,1.0,0.0,H
English League 2,14/08/93,Darlington,Rochdale,1.0,1.0,D
English League 2,14/08/93,Gillingham,Chesterfield,0.0,2.0,A
English League 2,14/08/93,Hereford,Scarborough,0.0,1.0,A
English League 2,14/08/93,Mansfield,Shrewsbury,1.0,0.0,H
English League 2,14/08/93,Preston,Crewe,0.0,2.0,A
English League 2,14/08/93,Walsall,Torquay,1.0,2.0,A
English League 2,14/08/93,Wigan,Scunthorpe,0.0,2.0,A
English League 2,21/08/93,Chesterfield,Hereford,3.0,1.0,H
English League 2,21/08/93,Crewe,Colchester,2.0,1.0,H
English League 2,21/08/93,Doncaster,Carlisle,0.0,0.0,D
English League 2,21/08/93,Lincoln,Darlington,1.0,1.0,D
English League 2,21/08/93,Rochdale,Gillingham,3.0,0.0,H
English League 2,21/08/93,Scarborough,Preston,3.0,4.0,A
English League 2,21/08/93,Scunthorpe,Bury,1.0,1.0,D
English League 2,21/08/93,Shrewsbury,Walsall,1.0,2.0,A
English League 2,21/08/93,Torquay,Wigan,1.0,1.0,D
English League 2,21/08/93,Wycombe,Chester,1.0,0.0,H
English League 2,28/08/93,Bury,Crewe,1.0,0.0,H
English League 2,28/08/93,Carlisle,Rochdale,0.0,1.0,A
English League 2,28/08/93,Chester,Chesterfield,3.0,1.0,H
English League 2,28/08/93,Colchester,Northampton,3.0,2.0,H
English League 2,28/08/93,Darlington,Torquay,1.0,2.0,A
English League 2,28/08/93,Gillingham,Scarborough,2.0,2.0,D
English League 2,28/08/93,Hereford,Lincoln,1.0,2.0,A
English League 2,28/08/93,Mansfield,Scunthorpe,0.0,1.0,A
English League 2,28/08/93,Preston,Shrewsbury,6.0,1.0,H
English League 2,28/08/93,Walsall,Doncaster,1.0,2.0,A
English League 2,28/08/93,Wigan,Wycombe,1.0,1.0,D
English League 2,31/08/93,Chesterfield,Mansfield,0.0,2.0,A
English League 2,31/08/93,Colchester,Shrewsbury,3.0,3.0,D
English League 2,31/08/93,Crewe,Northampton,3.0,1.0,H
English League 2,31/08/93,Darlington,Scarborough,0.0,2.0,A
English League 2,31/08/93,Gillingham,Doncaster,0.0,0.0,D
English League 2,31/08/93,Hereford,Wycombe,3.0,4.0,A
English League 2,31/08/93,Lincoln,Chester,0.0,3.0,A
English League 2,31/08/93,Preston,Bury,3.0,1.0,H
English League 2,31/08/93,Rochdale,Wigan,1.0,2.0,A
English League 2,31/08/93,Torquay,Carlisle,1.0,1.0,D
English League 2,31/08/93,Walsall,Scunthorpe,0.0,0.0,D
English League 2,04/09/93,Chesterfield,Darlington,1.0,1.0,D
English League 2,04/09/93,Crewe,Mansfield,2.0,1.0,H
English League 2,04/09/93,Doncaster,Wigan,3.0,1.0,H
English League 2,04/09/93,Lincoln,Preston,0.0,2.0,A
English League 2,04/09/93,Northampton,Walsall,0.0,1.0,A
English League 2,04/09/93,Rochdale,Chester,2.0,0.0,H
English League 2,04/09/93,Scarborough,Carlisle,0.0,3.0,A
English League 2,04/09/93,Scunthorpe,Hereford,1.0,2.0,A
English League 2,04/09/93,Shrewsbury,Bury,1.0,0.0,H
English League 2,04/09/93,Torquay,Colchester,3.0,3.0,D
English League 2,04/09/93,Wycombe,Gillingham,1.0,1.0,D
English League 2,11/09/93,Bury,Wycombe,1.0,2.0,A
English League 2,11/09/93,Carlisle,Chesterfield,3.0,0.0,H
English League 2,11/09/93,Chester,Scunthorpe,0.0,2.0,A
English League 2,11/09/93,Colchester,Rochdale,2.0,5.0,A
English League 2,11/09/93,Darlington,Shrewsbury,0.0,2.0,A
English League 2,11/09/93,Gillingham,Torquay,2.0,2.0,D
