League,Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result
Greek Super League,24/09/94,AEK,Athinaikos,0.0,0.0,D
Greek Super League,24/09/94,Apollon,Panathinaikos,2.0,3.0,A
Greek Super League,24/09/94,Doxa,Olympiakos,0.0,1.0,A
Greek Super League,24/09/94,Edessaikos,Levadiakos,1.0,0.0,H
Greek Super League,24/09/94,Ethnikos,OFI,1.0,1.0,D
Greek Super League,24/09/94,Iraklis,Ionikos,6.0,1.0,H
Greek Super League,24/09/94,Larisa,Aris,0.0,0.0,D
Greek Super League,24/09/94,PAOK,Kavala,4.0,0.0,H
Greek Super League,24/09/94,Xanthi,Panionios,4.0,1.0,H
Greek Super League,01/10/94,Aris,Doxa,3.0,1.0,H
Greek Super League,01/10/94,Athinaikos,Ethnikos,1.0,1.0,D
Greek Super League,01/10/94,Ionikos,Levadiakos,2.0,0.0,H
Greek Super League,01/10/94,Kavala,AEK,0.0,0.0,D
Greek Super League,01/10/94,OFI,Iraklis,2.0,1.0,H
Greek Super League,01/10/94,Olympiakos,Apollon,3.0,1.0,H
Greek Super League,01/10/94,Panathinaikos,Edessaikos,4.0,1.0,H
Greek Super League,01/10/94,Panionios,Larisa,2.0,1.0,H
Greek Super League,01/10/94,PAOK,Xanthi,2.0,0.0,H
Greek Super League,08/10/94,AEK,PAOK,4.0,3.0,H
Greek Super League,08/10/94,Apollon,Aris,2.0,0.0,H
Greek Super League,08/10/94,Doxa,Panionios,1.0,1.0,D
Greek Super League,08/10/94,Edessaikos,Olympiakos,1.0,1.0,D
Greek Super League,08/10/94,Ethnikos,Kavala,4.0,0.0,H
Greek Super League,08/10/94,Ionikos,Panathinaikos,2.0,5.0,A
Greek Super League,08/10/94,Iraklis,Athinaikos,2.0,0.0,H
Greek Super League,08/10/94,Levadiakos,OFI,1.0,3.0,A
Greek Super League,08/10/94,Xanthi,Larisa,2.0,3.0,A
Greek Super League,15/10/94,AEK,Xanthi,1.0,1.0,D
Greek Super League,15/10/94,Aris,Edessaikos,4.0,0.0,H
Greek Super League,15/10/94,Athinaikos,Levadiakos,2.0,0.0,H
Greek Super League,15/10/94,Kavala,Iraklis,0.0,1.0,A
Greek Super League,15/10/94,Larisa,Doxa,3.0,1.0,H
Greek Super League,15/10/94,OFI,Panathinaikos,0.0,2.0,A
Greek Super League,15/10/94,Olympiakos,Ionikos,6.0,1.0,H
Greek Super League,15/10/94,Panionios,Apollon,0.0,0.0,D
Greek Super League,15/10/94,PAOK,Ethnikos,4.0,0.0,H
Greek Super League,22/10/94,Apollon,Larisa,2.0,1.0,H
Greek Super League,22/10/94,Edessaikos,Panionios,0.0,0.0,D
Greek Super League,22/10/94,Ethnikos,AEK,0.0,2.0,A
Greek Super League,22/10/94,Ionikos,Aris,2.0,0.0,H
Greek Super League,22/10/94,Iraklis,PAOK,1.0,2.0,A
Greek Super League,22/10/94,Levadiakos,Kavala,2.0,1.0,H
Greek Super League,22/10/94,OFI,Olympiakos,1.0,0.0,H
Greek Super League,22/10/94,Panathinaikos,Athinaikos,1.0,0.0,H
Greek Super League,22/10/94,Xanthi,Doxa,5.0,1.0,H
Greek Super League,29/10/94,AEK,Iraklis,4.0,1.0,H
Greek Super League,29/10/94,Aris,OFI,0.0,1.0,A
Greek Super League,29/10/94,Athinaikos,Olympiakos,1.0,0.0,H
Greek Super League,29/10/94,Doxa,Apollon,2.0,1.0,H
Greek Super League,29/10/94,Ethnikos,Xanthi,0.0,0.0,D
Greek Super League,29/10/94,Kavala,Panathinaikos,1.0,5.0,A
Greek Super League,29/10/94,Larisa,Edessaikos,0.0,1.0,A
Greek Super League,29/10/94,Panionios,Ionikos,4.0,2.0,H
Greek Super League,29/10/94,PAOK,Levadiakos,0.0,0.0,D
Greek Super League,05/11/94,Athinaikos,Aris,0.0,1.0,A
Greek Super League,05/11/94,Edessaikos,Doxa,5.0,1.0,H
Greek Super League,05/11/94,Ionikos,Larisa,0.0,0.0,D
Greek Super League,05/11/94,Iraklis,Ethnikos,4.0,0.0,H
