League,Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result
La Liga,05/09/93,Ath Bilbao,Albacete,4.0,1.0,H
La Liga,05/09/93,Ath Madrid,Logrones,1.0,0.0,H
La Liga,05/09/93,Barcelona,Sociedad,3.0,0.0,H
La Liga,05/09/93,La Coruna,Celta,0.0,0.0,D
La Liga,05/09/93,Osasuna,Real Madrid,1.0,4.0,A
La Liga,05/09/93,Oviedo,Valencia,0.0,3.0,A
La Liga,05/09/93,Santander,Vallecano,1.0,0.0,H
La Liga,05/09/93,Tenerife,Lerida,1.0,0.0,H
La Liga,05/09/93,Valladolid,Sp Gijon,0.0,1.0,A
La Liga,05/09/93,Zaragoza,Sevilla,1.0,2.0,A
La Liga,12/09/93,Albacete,Barcelona,0.0,0.0,D
La Liga,12/09/93,Celta,Oviedo,1.0,1.0,D
La Liga,12/09/93,Lerida,Ath Bilbao,1.0,2.0,A
La Liga,12/09/93,Logrones,Santander,0.0,1.0,A
La Liga,12/09/93,Real Madrid,Valladolid,1.0,3.0,A
La Liga,12/09/93,Sevilla,Osasuna,1.0,1.0,D
La Liga,12/09/93,Sociedad,Zaragoza,2.0,2.0,D
La Liga,12/09/93,Sp Gijon,La Coruna,0.0,2.0,A
La Liga,12/09/93,Valencia,Ath Madrid,2.0,2.0,D
La Liga,12/09/93,Vallecano,Tenerife,4.0,3.0,H
La Liga,19/09/93,Ath Bilbao,Barcelona,0.0,0.0,D
La Liga,19/09/93,Ath Madrid,Celta,3.0,2.0,H
La Liga,19/09/93,La Coruna,Real Madrid,4.0,0.0,H
La Liga,19/09/93,Lerida,Vallecano,0.0,1.0,A
La Liga,19/09/93,Osasuna,Sociedad,0.0,2.0,A
La Liga,19/09/93,Oviedo,Sp Gijon,0.0,1.0,A
La Liga,19/09/93,Santander,Valencia,0.0,1.0,A
La Liga,19/09/93,Tenerife,Logrones,2.0,0.0,H
La Liga,19/09/93,Valladolid,Sevilla,2.0,2.0,D
La Liga,19/09/93,Zaragoza,Albacete,1.0,1.0,D
La Liga,26/09/93,Albacete,Osasuna,2.0,1.0,H
La Liga,26/09/93,Barcelona,Zaragoza,4.0,1.0,H
La Liga,26/09/93,Celta,Santander,0.0,0.0,D
La Liga,26/09/93,Logrones,Lerida,2.0,1.0,H
La Liga,26/09/93,Real Madrid,Oviedo,0.0,1.0,A
La Liga,26/09/93,Sevilla,La Coruna,0.0,0.0,D
La Liga,26/09/93,Sociedad,Valladolid,1.0,0.0,H
La Liga,26/09/93,Sp Gijon,Ath Madrid,1.0,1.0,D
La Liga,26/09/93,Valencia,Tenerife,3.0,2.0,H
La Liga,26/09/93,Vallecano,Ath Bilbao,1.0,2.0,A
La Liga,03/10/93,Ath Bilbao,Zaragoza,2.0,1.0,H
La Liga,03/10/93,Ath Madrid,Real Madrid,0.0,0.0,D
La Liga,03/10/93,La Coruna,Sociedad,0.0,1.0,A
La Liga,03/10/93,Lerida,Valencia,1.0,1.0,D
La Liga,03/10/93,Osasuna,Barcelona,2.0,3.0,A
La Liga,03/10/93,Oviedo,Sevilla,0.0,2.0,A
La Liga,03/10/93,Santander,Sp Gijon,2.0,0.0,H
La Liga,03/10/93,Tenerife,Celta,0.0,0.0,D
La Liga,03/10/93,Valladolid,Albacete,1.0,0.0,H
La Liga,03/10/93,Vallecano,Logrones,3.0,1.0,H
La Liga,06/10/93,Albacete,La Coruna,0.0,0.0,D
La Liga,06/10/93,Barcelona,Valladolid,3.0,0.0,H
La Liga,06/10/93,Celta,Lerida,1.0,0.0,H
La Liga,06/10/93,Logrones,Ath Bilbao,4.0,2.0,H
La Liga,06/10/93,Real Madrid,Santander,2.0,1.0,H
La Liga,06/10/93,Sevilla,Ath Madrid,2.0,1.0,H
La Liga,06/10/93,Sociedad,Oviedo,2.0,2.0,D
La Liga,06/10/93,Sp Gijon,Tenerife,1.0,2.0,A
La Liga,06/10/93,Valencia,Vallecano,3.0,1.0,H
La Liga,06/10/93,Zaragoza,Osasuna,2.0,1.0,H
La Liga,17/10/93,Ath Bilbao,Osasuna,1.0,2.0,A
La Liga,17/10/93,Ath Madrid,Sociedad,1.0,2.0,A
La Liga,17/10/93,La Coruna,Barcelona,1.0,0.0,H
La Liga,17/10/93,Lerida,Sp Gijon,1.0,1.0,D
La Liga,17/10/93,Logrones,Valencia,2.0,0.0,H
