League,Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result
Ligue 1,23/07/93,Nantes,Monaco,1.0,0.0,H
Ligue 1,24/07/93,Bordeaux,Paris SG,1.0,0.0,H
Ligue 1,24/07/93,Caen,Metz,1.0,1.0,D
Ligue 1,24/07/93,Lille,Martigues,1.0,1.0,D
Ligue 1,24/07/93,Marseille,Lens,1.0,0.0,H
Ligue 1,24/07/93,Montpellier,Lyon,1.0,1.0,D
Ligue 1,24/07/93,Sochaux,Angers,4.0,1.0,H
Ligue 1,24/07/93,St Etienne,Cannes,1.0,2.0,A
Ligue 1,24/07/93,Strasbourg,Auxerre,1.0,1.0,D
Ligue 1,24/07/93,Toulouse,Le Havre,0.0,0.0,D
Ligue 1,31/07/93,Auxerre,Montpellier,3.0,1.0,H
Ligue 1,31/07/93,Le Havre,Bordeaux,0.0,3.0,A
Ligue 1,31/07/93,Lens,Strasbourg,0.0,0.0,D
Ligue 1,31/07/93,Lyon,Caen,2.0,0.0,H
Ligue 1,31/07/93,Martigues,Sochaux,1.0,1.0,D
Ligue 1,31/07/93,Metz,Angers,2.0,0.0,H
Ligue 1,31/07/93,Monaco,Toulouse,3.0,0.0,H
Ligue 1,31/07/93,Nantes,St Etienne,1.0,0.0,H
Ligue 1,31/07/93,Paris SG,Lille,2.0,1.0,H
Ligue 1,01/08/93,Cannes,Marseille,2.0,1.0,H
Ligue 1,06/08/93,Lille,Lens,0.0,0.0,D
Ligue 1,07/08/93,Angers,Lyon,3.0,1.0,H
Ligue 1,07/08/93,Bordeaux,Cannes,0.0,0.0,D
Ligue 1,07/08/93,Caen,Auxerre,1.0,0.0,H
Ligue 1,07/08/93,Marseille,Le Havre,1.0,1.0,D
Ligue 1,07/08/93,Montpellier,Martigues,1.0,0.0,H
Ligue 1,07/08/93,Sochaux,Metz,2.0,1.0,H
Ligue 1,07/08/93,St Etienne,Monaco,2.0,0.0,H
Ligue 1,07/08/93,Strasbourg,Paris SG,2.0,2.0,D
Ligue 1,07/08/93,Toulouse,Nantes,0.0,3.0,A
Ligue 1,10/08/93,Monaco,Bordeaux,3.0,2.0,H
Ligue 1,11/08/93,Auxerre,Angers,0.0,0.0,D
Ligue 1,11/08/93,Cannes,Lille,2.0,1.0,H
Ligue 1,11/08/93,Le Havre,St Etienne,0.0,0.0,D
Ligue 1,11/08/93,Lens,Montpellier,2.0,1.0,H
Ligue 1,11/08/93,Lyon,Metz,2.0,0.0,H
Ligue 1,11/08/93,Martigues,Caen,4.0,1.0,H
Ligue 1,11/08/93,Nantes,Marseille,0.0,0.0,D
Ligue 1,11/08/93,Paris SG,Sochaux,1.0,0.0,H
Ligue 1,11/08/93,Toulouse,Strasbourg,0.0,0.0,D
Ligue 1,14/08/93,Angers,Martigues,1.0,3.0,A
Ligue 1,14/08/93,Bordeaux,Nantes,2.0,0.0,H
Ligue 1,14/08/93,Caen,Lens,1.0,0.0,H
Ligue 1,14/08/93,Lille,Le Havre,2.0,2.0,D
Ligue 1,14/08/93,Metz,Auxerre,0.0,0.0,D
Ligue 1,14/08/93,Montpellier,Monaco,0.0,3.0,A
Ligue 1,14/08/93,Sochaux,Lyon,0.0,1.0,A
Ligue 1,14/08/93,St Etienne,Toulouse,2.0,2.0,D
Ligue 1,14/08/93,Strasbourg,Cannes,2.0,2.0,D
Ligue 1,15/08/93,Marseille,Paris SG,1.0,0.0,H
Ligue 1,27/08/93,Monaco,Marseille,0.0,0.0,D
Ligue 1,28/08/93,Auxerre,Lyon,3.0,2.0,H
Ligue 1,28/08/93,Cannes,Sochaux,1.0,1.0,D
Ligue 1,28/08/93,Le Havre,Strasbourg,0.0,1.0,A
Ligue 1,28/08/93,Lens,Angers,0.0,1.0,A
Ligue 1,28/08/93,Martigues,Metz,1.0,1.0,D
Ligue 1,28/08/93,Nantes,Montpellier,0.0,0.0,D
Ligue 1,28/08/93,Paris SG,Caen,2.0,0.0,H
Ligue 1,28/08/93,St Etienne,Bordeaux,0.0,0.0,D
Ligue 1,28/08/93,Toulouse,Lille,1.0,1.0,D
Ligue 1,31/08/93,Bordeaux,Toulouse,2.0,0.0,H
Ligue 1,01/09/93,Angers,Paris SG,1.0,1.0,D
Ligue 1,01/09/93,Caen,Cannes,1.0,1.0,D
Ligue 1,01/09/93,Lille,Nantes,0.0,0.0,D
Ligue 1,01/09/93,Lyon,Martigues,0.0,0.0,D
Ligue 1,01/09/93,Marseille,St Etienne,3.0,1.0,H
Ligue 1,01/09/93,Metz,Lens,2.0,1.0,H
Ligue 1,01/09/93,Montpellier,Le Havre,2.0,1.0,H
Ligue 1,01/09/93,Sochaux,Auxerre,1.0,0.0,H
Ligue 1,01/09/93,Strasbourg,Monaco,1.0,1.0,D
Ligue 1,10/09/93,Le Havre,Caen,1.0,2.0,A
Ligue 1,11/09/93,Bordeaux,Metz,2.0,0.0,H
Ligue 1,11/09/93,Cannes,Angers,4.0,3.0,H
Ligue 1,11/09/93,Lens,Lyon,2.0,0.0,H
Ligue 1,11/09/93,Martigues,Auxerre,0.0,1.0,A
Ligue 1,11/09/93,Monaco,Lille,1.0,0.0,H
Ligue 1,11/09/93,Nantes,Strasbourg,2.0,2.0,D
Ligue 1,11/09/93,Paris SG,Montpellier,1.0,0.0,H
Ligue 1,11/09/93,St Etienne,Sochaux,0.0,0.0,D
Ligue 1,11/09/93,Toulouse,Marseille,0.0,0.0,D
Ligue 1,18/09/93,Auxerre,Lens,1.0,0.0,H
