League,Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result
Scottish Division 2,05/08/97,Clydebank,Brechin,3.0,0.0,H
Scottish Division 2,05/08/97,Stenhousemuir,Queen of Sth,2.0,1.0,H
Scottish Division 2,06/08/97,Inverness C,Livingston,1.0,1.0,D
Scottish Division 2,06/08/97,Stranraer,Clyde,0.0,0.0,D
Scottish Division 2,16/08/97,Brechin,Inverness C,2.0,2.0,D
Scottish Division 2,16/08/97,Clyde,Forfar,1.0,2.0,A
Scottish Division 2,16/08/97,East Fife,Stenhousemuir,0.0,3.0,A
Scottish Division 2,16/08/97,Livingston,Stranraer,1.0,0.0,H
Scottish Division 2,16/08/97,Queen of Sth,Clydebank,2.0,2.0,D
Scottish Division 2,23/08/97,Clydebank,Clyde,2.0,2.0,D
Scottish Division 2,23/08/97,Forfar,Brechin,2.0,5.0,A
Scottish Division 2,23/08/97,Inverness C,East Fife,0.0,1.0,A
Scottish Division 2,23/08/97,Stenhousemuir,Livingston,1.0,1.0,D
Scottish Division 2,23/08/97,Stranraer,Queen of Sth,2.0,1.0,H
Scottish Division 2,30/08/97,East Fife,Clyde,3.0,0.0,H
Scottish Division 2,30/08/97,Forfar,Clydebank,0.0,2.0,A
Scottish Division 2,30/08/97,Livingston,Queen of Sth,3.0,1.0,H
Scottish Division 2,30/08/97,Stenhousemuir,Inverness C,3.0,2.0,H
Scottish Division 2,30/08/97,Stranraer,Brechin,4.0,0.0,H
Scottish Division 2,07/09/97,Forfar,East Fife,1.0,2.0,A
Scottish Division 2,13/09/97,Brechin,Livingston,0.0,2.0,A
Scottish Division 2,13/09/97,Clyde,Stenhousemuir,2.0,0.0,H
Scottish Division 2,13/09/97,Clydebank,East Fife,1.0,2.0,A
Scottish Division 2,13/09/97,Inverness C,Stranraer,2.0,2.0,D
Scottish Division 2,13/09/97,Queen of Sth,Forfar,0.0,1.0,A
Scottish Division 2,20/09/97,Clyde,Brechin,1.0,1.0,D
Scottish Division 2,20/09/97,Clydebank,Stenhousemuir,1.0,0.0,H
Scottish Division 2,20/09/97,East Fife,Livingston,2.0,3.0,A
Scottish Division 2,20/09/97,Forfar,Stranraer,3.0,1.0,H
Scottish Division 2,20/09/97,Queen of Sth,Inverness C,2.0,1.0,H
Scottish Division 2,27/09/97,Brechin,Queen of Sth,0.0,3.0,A
Scottish Division 2,27/09/97,Inverness C,Clyde,1.0,2.0,A
Scottish Division 2,27/09/97,Livingston,Clydebank,0.0,0.0,D
Scottish Division 2,27/09/97,Stenhousemuir,Forfar,1.0,4.0,A
Scottish Division 2,27/09/97,Stranraer,East Fife,3.0,2.0,H
Scottish Division 2,04/10/97,Clyde,Livingston,1.0,0.0,H
Scottish Division 2,04/10/97,Clydebank,Stranraer,0.0,0.0,D
Scottish Division 2,04/10/97,East Fife,Queen of Sth,3.0,2.0,H
Scottish Division 2,04/10/97,Forfar,Inverness C,2.0,1.0,H
Scottish Division 2,04/10/97,Stenhousemuir,Brechin,3.0,2.0,H
Scottish Division 2,18/10/97,Brechin,East Fife,0.0,0.0,D
Scottish Division 2,18/10/97,Inverness C,Clydebank,0.0,0.0,D
Scottish Division 2,18/10/97,Livingston,Forfar,4.0,3.0,H
Scottish Division 2,18/10/97,Queen of Sth,Clyde,4.0,3.0,H
Scottish Division 2,18/10/97,Stranraer,Stenhousemuir,4.0,1.0,H
Scottish Division 2,25/10/97,Brechin,Forfar,2.0,0.0,H
Scottish Division 2,25/10/97,Clyde,Clydebank,0.0,1.0,A
Scottish Division 2,25/10/97,East Fife,Inverness C,1.0,5.0,A
Scottish Division 2,25/10/97,Livingston,Stenhousemuir,2.0,1.0,H
Scottish Division 2,25/10/97,Queen of Sth,Stranraer,2.0,1.0,H
Scottish Division 2,01/11/97,Forfar,Clyde,2.0,2.0,D
Scottish Division 2,01/11/97,Inverness C,Brechin,0.0,0.0,D
Scottish Division 2,01/11/97,Stenhousemuir,East Fife,0.0,0.0,D
Scottish Division 2,01/11/97,Stranraer,Livingston,1.0,1.0,D
Scottish Division 2,05/11/97,Clydebank,Queen of Sth,4.0,0.0,H
Scottish Division 2,08/11/97,Brechin,Stranraer,2.0,2.0,D
Scottish Division 2,08/11/97,Clyde,East Fife,3.0,0.0,H
Scottish Division 2,08/11/97,Clydebank,Forfar,1.0,1.0,D
Scottish Division 2,08/11/97,Inverness C,Stenhousemuir,4.0,1.0,H
Scottish Division 2,08/11/97,Queen of Sth,Livingston,1.0,0.0,H
Scottish Division 2,15/11/97,East Fife,Clydebank,2.0,3.0,A
Scottish Division 2,15/11/97,Forfar,Queen of Sth,2.0,4.0,A
Scottish Division 2,15/11/97,Livingston,Brechin,5.0,2.0,H
Scottish Division 2,15/11/97,Stenhousemuir,Clyde,0.0,0.0,D
Scottish Division 2,15/11/97,Stranraer,Inverness C,2.0,1.0,H
Scottish Division 2,22/11/97,Clyde,Inverness C,4.0,3.0,H
Scottish Division 2,22/11/97,Clydebank,Livingston,1.0,1.0,D
Scottish Division 2,22/11/97,East Fife,Stranraer,2.0,2.0,D
Scottish Division 2,22/11/97,Forfar,Stenhousemuir,1.0,1.0,D
Scottish Division 2,22/11/97,Queen of Sth,Brechin,0.0,0.0,D
Scottish Division 2,29/11/97,Brechin,Clyde,2.0,1.0,H
Scottish Division 2,29/11/97,Inverness C,Queen of Sth,2.0,1.0,H
Scottish Division 2,29/11/97,Stenhousemuir,Clydebank,2.0,3.0,A
Scottish Division 2,29/11/97,Stranraer,Forfar,2.0,2.0,D
Scottish Division 2,03/12/97,Livingston,East Fife,1.0,0.0,H
Scottish Division 2,13/12/97,Clydebank,Inverness C,1.0,1.0,D
Scottish Division 2,13/12/97,East Fife,Brechin,3.0,1.0,H
Scottish Division 2,13/12/97,Forfar,Livingston,2.0,2.0,D
Scottish Division 2,13/12/97,Stenhousemuir,Stranraer,3.0,0.0,H
Scottish Division 2,16/12/97,Clyde,Queen of Sth,0.0,0.0,D
Scottish Division 2,20/12/97,Brechin,Stenhousemuir,1.0,1.0,D
Scottish Division 2,20/12/97,Inverness C,Forfar,2.0,2.0,D
Scottish Division 2,20/12/97,Livingston,Clyde,0.0,2.0,A
Scottish Division 2,20/12/97,Queen of Sth,East Fife,2.0,1.0,H
Scottish Division 2,20/12/97,Stranraer,Clydebank,0.0,1.0,A
Scottish Division 2,27/12/97,Clydebank,Clyde,2.0,1.0,H
Scottish Division 2,27/12/97,Forfar,Brechin,5.0,0.0,H
Scottish Division 2,27/12/97,Inverness C,East Fife,4.0,0.0,H
Scottish Division 2,27/12/97,Stenhousemuir,Livingston,1.0,2.0,A
Scottish Division 2,27/12/97,Stranraer,Queen of Sth,3.0,4.0,A
Scottish Division 2,10/01/98,Brechin,Clydebank,0.0,1.0,A
Scottish Division 2,11/01/98,East Fife,Forfar,1.0,0.0,H
Scottish Division 2,13/01/98,Clyde,Stranraer,0.0,1.0,A
Scottish Division 2,17/01/98,Inverness C,Clyde,5.0,1.0,H
Scottish Division 2,17/01/98,Stranraer,East Fife,2.0,3.0,A
Scottish Division 2,20/01/98,Queen of Sth,Stenhousemuir,0.0,1.0,A
Scottish Division 2,31/01/98,Clyde,Brechin,2.0,2.0,D
Scottish Division 2,31/01/98,Clydebank,Stenhousemuir,1.0,0.0,H
Scottish Division 2,31/01/98,East Fife,Livingston,2.0,0.0,H
Scottish Division 2,31/01/98,Forfar,Stranraer,2.0,1.0,H
Scottish Division 2,31/01/98,Queen of Sth,Inverness C,1.0,0.0,H
Scottish Division 2,03/02/98,Brechin,Queen of Sth,1.0,1.0,D
Scottish Division 2,03/02/98,Stenhousemuir,Forfar,2.0,2.0,D
Scottish Division 2,07/02/98,Brechin,East Fife,2.0,1.0,H
Scottish Division 2,07/02/98,Inverness C,Clydebank,3.0,2.0,H
Scottish Division 2,07/02/98,Livingston,Forfar,4.0,0.0,H
Scottish Division 2,07/02/98,Queen of Sth,Clyde,0.0,0.0,D
Scottish Division 2,07/02/98,Stranraer,Stenhousemuir,1.0,2.0,A
Scottish Division 2,10/02/98,Livingston,Clydebank,0.0,3.0,A
Scottish Division 2,14/02/98,Clydebank,Stranraer,0.0,1.0,A
Scottish Division 2,15/02/98,East Fife,Queen of Sth,1.0,5.0,A
Scottish Division 2,17/02/98,Clyde,Livingston,0.0,3.0,A
Scottish Division 2,17/02/98,Stenhousemuir,Brechin,3.0,1.0,H
Scottish Division 2,21/02/98,Clydebank,Brechin,2.0,1.0,H
Scottish Division 2,21/02/98,Forfar,East Fife,1.0,0.0,H
Scottish Division 2,21/02/98,Inverness C,Livingston,2.0,2.0,D
Scottish Division 2,21/02/98,Stenhousemuir,Queen of Sth,2.0,0.0,H
Scottish Division 2,21/02/98,Stranraer,Clyde,3.0,0.0,H
Scottish Division 2,24/02/98,Queen of Sth,Clydebank,0.0,0.0,D
Scottish Division 2,25/02/98,Brechin,Inverness C,3.0,1.0,H
Scottish Division 2,25/02/98,Clyde,Forfar,1.0,2.0,A
Scottish Division 2,25/02/98,East Fife,Stenhousemuir,2.0,1.0,H
Scottish Division 2,25/02/98,Livingston,Stranraer,0.0,1.0,A
Scottish Division 2,28/02/98,East Fife,Clyde,1.0,1.0,D
Scottish Division 2,28/02/98,Forfar,Clydebank,0.0,0.0,D
Scottish Division 2,28/02/98,Stenhousemuir,Inverness C,0.0,3.0,A
Scottish Division 2,03/03/98,Livingston,Inverness C,2.0,2.0,D
