League,Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result
Serie A,29/08/93,Atalanta,Cagliari,5.0,2.0,H
Serie A,29/08/93,Genoa,Roma,2.0,0.0,H
Serie A,29/08/93,Inter,Reggiana,2.0,1.0,H
Serie A,29/08/93,Juventus,Cremonese,1.0,0.0,H
Serie A,29/08/93,Lazio,Foggia,0.0,0.0,D
Serie A,29/08/93,Lecce,Milan,0.0,1.0,A
Serie A,29/08/93,Napoli,Sampdoria,1.0,2.0,A
Serie A,29/08/93,Piacenza,Torino,0.0,3.0,A
Serie A,29/08/93,Udinese,Parma,0.0,1.0,A
Serie A,05/09/93,Cagliari,Udinese,1.0,2.0,A
Serie A,05/09/93,Cremonese,Napoli,2.0,0.0,H
Serie A,05/09/93,Foggia,Inter,1.0,1.0,D
Serie A,05/09/93,Milan,Genoa,1.0,0.0,H
Serie A,05/09/93,Parma,Lecce,1.0,0.0,H
Serie A,05/09/93,Reggiana,Lazio,0.0,0.0,D
Serie A,05/09/93,Roma,Juventus,2.0,1.0,H
Serie A,05/09/93,Sampdoria,Piacenza,2.0,1.0,H
Serie A,05/09/93,Torino,Atalanta,2.0,1.0,H
Serie A,08/09/93,Atalanta,Reggiana,2.0,1.0,H
Serie A,08/09/93,Genoa,Cagliari,1.0,1.0,D
Serie A,08/09/93,Inter,Cremonese,2.0,1.0,H
Serie A,08/09/93,Juventus,Sampdoria,3.0,1.0,H
Serie A,08/09/93,Lazio,Parma,2.0,1.0,H
Serie A,08/09/93,Lecce,Foggia,0.0,2.0,A
Serie A,08/09/93,Napoli,Torino,0.0,0.0,D
Serie A,08/09/93,Piacenza,Milan,0.0,0.0,D
Serie A,08/09/93,Udinese,Roma,0.0,0.0,D
Serie A,12/09/93,Cagliari,Inter,1.0,0.0,H
Serie A,12/09/93,Cremonese,Lazio,1.0,0.0,H
Serie A,12/09/93,Foggia,Juventus,1.0,1.0,D
Serie A,12/09/93,Milan,Atalanta,2.0,0.0,H
Serie A,12/09/93,Parma,Genoa,2.0,1.0,H
Serie A,12/09/93,Reggiana,Piacenza,1.0,1.0,D
Serie A,12/09/93,Roma,Napoli,2.0,3.0,A
Serie A,12/09/93,Sampdoria,Lecce,2.0,1.0,H
Serie A,12/09/93,Torino,Udinese,1.0,0.0,H
Serie A,19/09/93,Atalanta,Cremonese,0.0,0.0,D
Serie A,19/09/93,Foggia,Cagliari,0.0,1.0,A
Serie A,19/09/93,Genoa,Napoli,0.0,0.0,D
Serie A,19/09/93,Juventus,Reggiana,4.0,0.0,H
Serie A,19/09/93,Lazio,Inter,0.0,0.0,D
Serie A,19/09/93,Milan,Roma,2.0,0.0,H
Serie A,19/09/93,Parma,Torino,3.0,0.0,H
Serie A,19/09/93,Piacenza,Lecce,2.0,1.0,H
Serie A,19/09/93,Udinese,Sampdoria,0.0,2.0,A
Serie A,26/09/93,Cagliari,Lazio,4.0,1.0,H
Serie A,26/09/93,Cremonese,Milan,0.0,2.0,A
Serie A,26/09/93,Inter,Piacenza,2.0,0.0,H
Serie A,26/09/93,Lecce,Juventus,1.0,1.0,D
Serie A,26/09/93,Napoli,Udinese,2.0,1.0,H
Serie A,26/09/93,Reggiana,Foggia,0.0,0.0,D
Serie A,26/09/93,Roma,Atalanta,2.0,1.0,H
Serie A,26/09/93,Sampdoria,Parma,1.0,1.0,D
Serie A,26/09/93,Torino,Genoa,2.0,0.0,H
Serie A,03/10/93,Atalanta,Sampdoria,1.0,4.0,A
Serie A,03/10/93,Genoa,Reggiana,0.0,0.0,D
Serie A,03/10/93,Juventus,Torino,3.0,2.0,H
Serie A,03/10/93,Milan,Lazio,0.0,0.0,D
Serie A,03/10/93,Napoli,Inter,0.0,0.0,D
Serie A,03/10/93,Parma,Foggia,3.0,0.0,H
Serie A,03/10/93,Piacenza,Cagliari,1.0,1.0,D
Serie A,03/10/93,Roma,Cremonese,1.0,2.0,A
Serie A,03/10/93,Udinese,Lecce,2.0,1.0,H
Serie A,17/10/93,Cagliari,Napoli,1.0,2.0,A
Serie A,17/10/93,Cremonese,Parma,0.0,0.0,D
Serie A,17/10/93,Foggia,Milan,1.0,1.0,D
Serie A,17/10/93,Inter,Torino,0.0,0.0,D
Serie A,17/10/93,Juventus,Atalanta,2.0,1.0,H
Serie A,17/10/93,Lazio,Piacenza,1.0,0.0,H
Serie A,17/10/93,Lecce,Genoa,0.0,0.0,D
Serie A,17/10/93,Reggiana,Udinese,1.0,1.0,D
Serie A,17/10/93,Sampdoria,Roma,0.0,1.0,A
Serie A,24/10/93,Atalanta,Foggia,1.0,1.0,D
Serie A,24/10/93,Cremonese,Cagliari,3.0,1.0,H
Serie A,24/10/93,Genoa,Piacenza,0.0,1.0,A
Serie A,24/10/93,Milan,Juventus,1.0,1.0,D
Serie A,24/10/93,Napoli,Lecce,3.0,1.0,H
Serie A,24/10/93,Parma,Reggiana,1.0,0.0,H
Serie A,24/10/93,Roma,Lazio,1.0,1.0,D
Serie A,24/10/93,Torino,Sampdoria,2.0,3.0,A
Serie A,24/10/93,Udinese,Inter,0.0,1.0,A
Serie A,31/10/93,Cagliari,Torino,2.0,1.0,H
Serie A,31/10/93,Foggia,Cremonese,1.0,1.0,D
Serie A,31/10/93,Inter,Parma,3.0,2.0,H
Serie A,31/10/93,Juventus,Genoa,4.0,0.0,H
Serie A,31/10/93,Lazio,Udinese,2.0,1.0,H
Serie A,31/10/93,Lecce,Atalanta,5.0,1.0,H
Serie A,31/10/93,Piacenza,Napoli,1.0,1.0,D
Serie A,31/10/93,Reggiana,Roma,0.0,0.0,D
Serie A,31/10/93,Sampdoria,Milan,3.0,2.0,H
Serie A,07/11/93,Atalanta,Piacenza,0.0,0.0,D
Serie A,07/11/93,Cremonese,Lecce,2.0,1.0,H
Serie A,07/11/93,Inter,Milan,1.0,2.0,A
Serie A,07/11/93,Napoli,Lazio,1.0,2.0,A
Serie A,07/11/93,Parma,Juventus,2.0,0.0,H
Serie A,07/11/93,Roma,Foggia,0.0,0.0,D
Serie A,07/11/93,Sampdoria,Cagliari,1.0,2.0,A
Serie A,07/11/93,Torino,Reggiana,2.0,0.0,H
Serie A,07/11/93,Udinese,Genoa,0.0,4.0,A
Serie A,21/11/93,Atalanta,Parma,0.0,2.0,A
Serie A,21/11/93,Foggia,Sampdoria,1.0,2.0,A
Serie A,21/11/93,Genoa,Inter,1.0,0.0,H
Serie A,21/11/93,Juventus,Cagliari,1.0,1.0,D
Serie A,21/11/93,Lazio,Torino,1.0,2.0,A
Serie A,21/11/93,Lecce,Roma,0.0,2.0,A
Serie A,21/11/93,Milan,Napoli,2.0,1.0,H
Serie A,21/11/93,Piacenza,Udinese,0.0,0.0,D
Serie A,21/11/93,Reggiana,Cremonese,2.0,0.0,H
Serie A,28/11/93,Cagliari,Roma,1.0,1.0,D
Serie A,28/11/93,Inter,Juventus,2.0,2.0,D
Serie A,28/11/93,Lazio,Genoa,4.0,0.0,H
Serie A,28/11/93,Napoli,Reggiana,5.0,0.0,H
Serie A,28/11/93,Parma,Milan,0.0,0.0,D
Serie A,28/11/93,Piacenza,Foggia,5.0,4.0,H
Serie A,28/11/93,Sampdoria,Cremonese,3.0,1.0,H
Serie A,28/11/93,Torino,Lecce,3.0,0.0,H
Serie A,28/11/93,Udinese,Atalanta,0.0,0.0,D
Serie A,05/12/93,Atalanta,Lazio,1.0,1.0,D
Serie A,05/12/93,Cremonese,Piacenza,4.0,0.0,H
Serie A,05/12/93,Foggia,Udinese,2.0,2.0,D
Serie A,05/12/93,Genoa,Sampdoria,1.0,1.0,D
Serie A,05/12/93,Juventus,Napoli,1.0,0.0,H
Serie A,05/12/93,Lecce,Inter,1.0,3.0,A
Serie A,05/12/93,Milan,Torino,1.0,0.0,H
Serie A,05/12/93,Reggiana,Cagliari,3.0,1.0,H
Serie A,05/12/93,Roma,Parma,2.0,0.0,H
Serie A,12/12/93,Cagliari,Parma,0.0,4.0,A
Serie A,12/12/93,Genoa,Foggia,1.0,4.0,A
Serie A,12/12/93,Inter,Sampdoria,3.0,0.0,H
Serie A,12/12/93,Lazio,Juventus,3.0,1.0,H
Serie A,12/12/93,Napoli,Atalanta,4.0,0.0,H
Serie A,12/12/93,Piacenza,Roma,1.0,0.0,H
Serie A,12/12/93,Reggiana,Lecce,1.0,0.0,H
Serie A,12/12/93,Torino,Cremonese,1.0,1.0,D
Serie A,12/12/93,Udinese,Milan,0.0,0.0,D
Serie A,19/12/93,Atalanta,Genoa,2.0,1.0,H
Serie A,19/12/93,Cremonese,Udinese,1.0,1.0,D
Serie A,19/12/93,Foggia,Torino,1.0,0.0,H
Serie A,19/12/93,Juventus,Piacenza,2.0,0.0,H
Serie A,19/12/93,Lecce,Lazio,1.0,2.0,A
Serie A,19/12/93,Milan,Cagliari,2.0,1.0,H
Serie A,19/12/93,Parma,Napoli,1.0,3.0,A
Serie A,19/12/93,Roma,Inter,1.0,1.0,D
Serie A,19/12/93,Sampdoria,Reggiana,1.0,0.0,H
Serie A,02/01/94,Cagliari,Lecce,2.0,1.0,H
Serie A,02/01/94,Genoa,Cremonese,1.0,0.0,H
Serie A,02/01/94,Inter,Atalanta,1.0,2.0,A
Serie A,02/01/94,Lazio,Sampdoria,1.0,1.0,D
Serie A,02/01/94,Napoli,Foggia,1.0,1.0,D
Serie A,02/01/94,Piacenza,Parma,1.0,1.0,D
Serie A,02/01/94,Reggiana,Milan,0.0,1.0,A
Serie A,02/01/94,Torino,Roma,1.0,1.0,D
Serie A,02/01/94,Udinese,Juventus,0.0,3.0,A
Serie A,09/01/94,Cagliari,Atalanta,1.0,1.0,D
Serie A,09/01/94,Cremonese,Juventus,1.0,1.0,D
Serie A,09/01/94,Foggia,Lazio,4.0,1.0,H
Serie A,09/01/94,Milan,Lecce,0.0,0.0,D
Serie A,09/01/94,Parma,Udinese,0.0,1.0,A
Serie A,09/01/94,Reggiana,Inter,1.0,0.0,H
Serie A,09/01/94,Roma,Genoa,1.0,1.0,D
Serie A,09/01/94,Sampdoria,Napoli,4.0,1.0,H
Serie A,09/01/94,Torino,Piacenza,1.0,0.0,H
Serie A,16/01/94,Atalanta,Torino,2.0,2.0,D
Serie A,16/01/94,Genoa,Milan,0.0,0.0,D
Serie A,16/01/94,Inter,Foggia,3.0,1.0,H
Serie A,16/01/94,Juventus,Roma,0.0,0.0,D
Serie A,16/01/94,Lazio,Reggiana,2.0,0.0,H
Serie A,16/01/94,Lecce,Parma,1.0,1.0,D
Serie A,16/01/94,Napoli,Cremonese,2.0,1.0,H
Serie A,16/01/94,Piacenza,Sampdoria,2.0,1.0,H
Serie A,16/01/94,Udinese,Cagliari,1.0,1.0,D
Serie A,23/01/94,Cagliari,Genoa,0.0,0.0,D
Serie A,23/01/94,Cremonese,Inter,1.0,4.0,A
Serie A,23/01/94,Foggia,Lecce,5.0,0.0,H
Serie A,23/01/94,Milan,Piacenza,2.0,0.0,H
Serie A,23/01/94,Parma,Lazio,2.0,0.0,H
Serie A,23/01/94,Reggiana,Atalanta,3.0,0.0,H
Serie A,23/01/94,Roma,Udinese,0.0,2.0,A
Serie A,23/01/94,Sampdoria,Juventus,1.0,1.0,D
Serie A,23/01/94,Torino,Napoli,1.0,1.0,D
Serie A,30/01/94,Atalanta,Milan,0.0,1.0,A
Serie A,30/01/94,Genoa,Parma,0.0,4.0,A
